0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.0005, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.001, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, win
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.0015, loss
0.002, loss
0.002, loss
0.002, loss
0.002, win
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
0.002, loss
